img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_677038PALFrontccc.jpg,Actua Tennis,PS,sports,Gremlin Interactive Ltd,Gremlin Interactive,7.3,0.13,0.07,0.0,0.05,0.01,1998-01-01,
/games/boxart/8993843ccc.jpg,NHL 2K7,PS3,sports,2K Sports,2K Sports,8.2,0.12,0.11,0.0,0.0,0.01,2006-11-13,
/games/boxart/full_peppa-pig-fun-and-games_10PALFront.jpg,Peppa Pig: Fun and Games,WII,misc,Ubisoft,Ubisoft,7.3,0.13999999999999999,0.0,0.0,0.12,0.02,2010-10-22,
/games/boxart/full_the-amazing-race_5AmericaFront.jpg,The Amazing Race,WII,misc,Ubisoft,Ludia Inc.,7.3,0.13,0.12,0.0,0.0,0.01,2010-10-26,
/games/boxart/full_chuck-e-cheeses-game-room_3AmericaFront.jpg,Chuck E. Cheese's Game Room,DS,misc,Ufo Interactive,Starfish,7.3,0.13,0.12,0.0,0.0,0.01,2010-09-28,
/games/boxart/full_7492277AmericaFrontccc.jpeg,Hasbro Family Fun Pack,XONE,misc,Ubisoft,Ubisoft,7.3,0.13,0.1,0.0,0.02,0.01,2015-10-20,2018-06-19
/games/boxart/full_football-manager-2012_17PALFront.jpg,Football Manager Handheld 2012,PSP,sports,Sega,Sports Interactive,7.3,0.13,0.0,0.0,0.09,0.04,2011-10-28,2018-01-05
/games/boxart/full_418473AmericaFrontccc.jpg,Peter Jacobsen's Golden Tee Golf,PS,sports,Infogrames,Incredible Technologies,7.3,0.13,0.07,0.0,0.05,0.01,2000-09-20,
/games/boxart/default.jpg,Karaoke Revolution Presents American Idol Encore 2,PS3,misc,Konami,Blitz Games,7.3,0.12,0.11,0.0,0.0,0.01,2008-11-18,
/games/boxart/full_3695795AmericaFrontccc.jpg,Vacation Isle: Beach Party,WII,misc,Warner Bros. Interactive,Farsight Studios,7.3,0.11,0.08,0.0,0.02,0.01,2010-06-08,
/games/boxart/full_5366420AmericaFrontccc.png,Party Planet,NS,misc,Mastiff,Mastiff,7.3,0.11,0.1,0.0,0.0,0.01,2017-12-12,2019-02-09
/games/boxart/full_3176272AmericaFrontccc.jpg,SingStar Latino,PS3,misc,Sony Computer Entertainment,Scee London Studio,7.3,0.12,0.11,0.0,0.0,0.01,2009-11-17,
/games/boxart/696516ccc.jpg,Madden NFL 06,DS,sports,Ea Sports,Exient Entertainment,7.3,0.12,0.11,0.0,0.0,0.01,2005-08-08,
/games/boxart/full_8578835PALFrontccc.jpg,Football Manager Classic 2014,PSV,sports,Sega,Sports Interactive,5.8,0.13,0.0,0.0,0.1,0.03,2014-04-11,2018-03-21
/games/boxart/full_5770263AmericaFrontccc.jpg,Reader Rabbit Kindergarten,WII,misc,Graffiti,Graffiti Entertainment,7.3,0.13,0.12,0.0,0.0,0.01,2010-05-04,
/games/boxart/full_disney-sing-it-party-hits_6AmericaFront.jpg,Disney Sing It: Party Hits,PS3,misc,Disney Interactive Studios,Zoe Mode,7.3,0.12,0.1,0.0,0.01,0.01,2010-09-28,
/games/boxart/full_9690133JapanFrontccc.jpg,Taiko Drum Master: Tokumori!,WIIU,misc,Namco Bandai Games,Namco Bandai Games,7.3,0.12,0.0,0.12,0.0,0.0,2014-11-20,
/games/boxart/full_6703255JapanFrontccc.jpg,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,misc,Namco Bandai Games,Unknown,7.3,0.12,0.0,0.12,0.0,0.0,2012-01-12,
/games/boxart/full_2427347PALFrontccc.png,Marvel Avengers: Battle for Earth,WIIU,misc,Ubisoft,Ubisoft Quebec,7.3,0.12,0.06,0.0,0.05,0.01,2012-12-04,2018-01-01
/games/boxart/full_770135JapanFrontccc.jpg,Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,DS,misc,Namco Bandai,Bandai Namco Games,7.3,0.12,0.0,0.12,0.0,0.0,2007-06-07,
/games/boxart/full_5342695PALFrontccc.jpg,Dynasty Warriors 8: Xtreme Legends,PSV,misc,Tecmo Koei,Unknown,7.3,0.13,0.03,0.05,0.03,0.02,2014-03-25,
/games/boxart/full_4383531AmericaFrontccc.jpg,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,misc,Atari,Sensory Sweep,7.3,0.12,0.11,0.0,0.0,0.01,2005-12-13,
/games/boxart/full_85636JapanFrontccc.jpg,Fatal Frame: Maiden of Black Water,WIIU,misc,Nintendo,Koei Tecmo Games,7.3,0.12,0.0,0.09,0.03,0.0,2015-10-22,2018-01-01
/games/boxart/full_942044AmericaFrontccc.jpg,Rock Band Track Pack Volume 2,PS2,misc,Mtv Games,Harmonix Music Systems,7.3,0.13,0.06,0.0,0.05,0.02,2008-11-17,
/games/boxart/full_6393814JapanFrontccc.jpg,Virtua Fighter CG Portrait Series Vol.4: Pai Chan,SAT,misc,Sega,Sega-Am2,7.3,0.12,0.0,0.12,0.0,0.0,1995-11-17,
/games/boxart/full_dance-paradise_353AmericaFront.jpg,Dance Paradise,X360,misc,Thq,Smackdown Productions,7.0,0.12,0.1,0.0,0.01,0.01,2011-02-15,
/games/boxart/full_1900421AmericaFrontccc.jpg,Barnyard,GC,action,Thq,Blue Tongue,7.3,0.11,0.09,0.0,0.02,0.0,2006-08-01,
/games/boxart/full_8755831JapanFrontccc.jpg,Yattaman DS: BikkuriDokkiri Daisakusen da Koron,DS,action,Takara Tomy,Takara Tomy,7.3,0.12,0.0,0.12,0.0,0.0,2008-04-24,
/games/boxart/full_9664956AmericaFrontccc.jpg,Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,GBA,misc,Sierra Entertainment,Vicarious Visions,7.3,0.12,0.09,0.0,0.03,0.0,2005-10-19,
/games/boxart/full_3818696AmericaFrontccc.jpg,Life is Strange,XONE,adventure,Square Enix,Dontnod Entertainment,7.3,0.12,0.08,0.0,0.03,0.01,2016-01-19,2018-01-07
/games/boxart/full_7927920JapanFrontccc.jpg,Puella Magi Madoka Magica Portable,PSP,role-playing,Namco Bandai Games,Banpresto,7.3,0.12,0.0,0.12,0.0,0.0,2012-03-15,2018-11-14
/games/boxart/full_7803352PALFrontccc.jpg,Sword Art Online: Hollow Fragment,PS4,role-playing,Namco Bandai Games,Namco Bandai Games,7.3,0.13,0.0,0.0,0.11,0.02,2015-07-28,2018-07-03
/games/boxart/full_2357469AmericaFrontccc.jpg,Mega Man X: Command Mission,GC,role-playing,Capcom,Capcom,7.2,0.12000000000000001,0.1,0.0,0.02,0.0,2004-09-21,
/games/boxart/full_3048608AmericaFrontccc.jpg,Dragon's Crown Pro,PS4,role-playing,Atlus,Vanillaware,7.3,0.12000000000000001,0.1,0.0,0.0,0.02,2018-04-24,2018-01-29
/games/boxart/full_3958177AmericaFrontccc.jpg,Wild ARMs 5 (jp sales),PS2,role-playing,Xseed Games,Media.Vision,7.3,0.12,0.0,0.12,0.0,0.0,2007-08-28,
/games/boxart/full_4529686AmericaFrontccc.jpg,Guardian's Crusade,PS,role-playing,Activision,Tamsoft,7.3,0.13,0.07,0.0,0.05,0.01,1999-01-31,
/games/boxart/full_6083031AmericaFrontccc.jpg,Makai Kingdom: Chronicles of the Sacred Tome,PS2,role-playing,Nis America,Nippon Ichi Software,7.9,0.13,0.06,0.0,0.05,0.02,2005-07-26,
/games/boxart/1773529ccc.jpg,Echo Night,PS,adventure,Agetec,From Software,6.3,0.13,0.03,0.07,0.02,0.01,1999-07-31,
